round,task,family,quick_delta_pp,quick_cfg,med_delta_pp,med_cfg,reversal_qpos_mnonpos
97,squad_seed2_anchor_recheck,squad,1.010101010101011,scalar_l8_train1e4,0.7139972833278829,scalar_l8_train1e4,False
98,arc_seed3_discovery,other,-0.5057044865962063,scalar_l8_sched_cos,,,False
98,punc_seed1_anchor_recheck,other,5.1234801234801255,scalar_l8_train1e4,2.160995494328831,scalar_l8_train1e4,False
99,mbpp_seed2_headprobe,mbpp,3.4077047295529352,head_l10_strong,2.2820396084680175,head_l10_strong,False
99,protein_ss_seed4_discovery,protein_ss,4.903993004038377,scalar_l8_train8e5,4.903993004038377,scalar_l8_train8e5,False
100,arc_seed0_headprobe,other,0.999160075593196,scalar_l8_train8e5,0.2932230601028249,scalar_l8_train8e5,False
100,hotpot_seed1_headprobe,hotpot,5.1234801234801255,scalar_l8_train1e4,2.160995494328831,scalar_l8_train1e4,False
101,punc_seed1_anchor_recheck2,other,5.1234801234801255,scalar_l8_train1e4,2.160995494328831,scalar_l8_train1e4,False
101,squad_seed2_anchor_recheck2,squad,1.010101010101011,scalar_l8_train1e4,0.7139972833278829,scalar_l8_train1e4,False
102,mbpp_seed0_anchor_recheck2,mbpp,1.4328890423342178,scalar_l8_sched_cos,1.1953477784424404,scalar_l8_sched_cos,False
102,protein_ss_seed1_anchor_recheck,protein_ss,9.386116087363444,head_l8,2.3892985164087444,head_l8,False
103,hotpot_seed4_discovery,hotpot,0.7894807894807911,scalar_l8_train1e4,,,False
103,protein_ss_seed5_discovery,protein_ss,5.2178006590438475,head_l8,1.6220527330259138,head_l8,False
104,arc_seed4_discovery,other,2.8347448729614326,scalar_l8_train1e4,2.727101282693402,scalar_l8_train1e4,False
104,mbpp_seed4_headprobe,mbpp,2.250113071008597,scalar_l8_sched_cos,1.288920690190426,scalar_l8_sched_cos,False
105,arc_seed5_discovery,other,-2.1855533002029817,scalar_l8_train1e4,,,False
105,protein_ss_seed6_discovery,protein_ss,0.442980873760912,scalar_l8_train1e4,,,False
106,hotpot_seed5_discovery,hotpot,-1.282051282051283,scalar_l8_train1e4,,,False
106,mbpp_seed5_headprobe,mbpp,-1.010101010101011,head_l10_strong,,,False
107,arc_mc_seed0_discovery,arc_mc,-4.166666666666669,scalar_l8_train1e4,,,False
107,hotpot_longctx_seed0_discovery,hotpot,0.0,scalar_l8_train1e4,,,False
108,protein_ss_seed7_discovery,protein_ss,-2.562327919371543,head_l8,,,False
109,arc_seed6_discovery,other,0.23577634110491102,head_l8,,,False
109,hotpot_seed6_discovery,hotpot,2.8596253596253605,scalar_l8_train1e4,3.587111322883681,scalar_l8_train1e4,False
110,mbpp_seed6_headprobe,mbpp,-0.06824765761843099,scalar_l8_sched_cos,,,False
111,arc_mc_seed1_discovery,arc_mc,0.0,scalar_l8_train1e4,,,False
111,punc_seed2_anchor,other,-0.6250491390832627,scalar_l8_train8e5,,,False
