round,task,family,baseline_acc,best_cfg,best_acc,best_delta_pp,outcome
195,arc_mc_seed32_discovery,arc_mc,0.375,scalar_l8_sched_cos,0.4583333333333333,8.333333333333332,positive
196,mbpp_seed34_anchor,mbpp,0.4807013271642518,head_l10_strong,0.45909394703720946,-2.160738012704233,negative
196,punc_seed23_anchor,other,0.10411002570973447,head_l8,0.10717649507699872,0.3066469367264249,positive
197,arc_mc_seed33_discovery,arc_mc,0.4166666666666667,scalar_l8_sched_cos,0.375,-4.166666666666669,negative
198,protein_ss_seed45_discovery,protein_ss,0.2761118598382749,scalar_l8_train1e4,0.31194221093433133,3.5830351096056425,positive
198,mbpp_longctx_seed10_repair,mbpp_longctx,0.16298076923076923,head_l8,0.19642857142857142,3.344780219780219,positive
203,arc_mc_seed36_discovery,arc_mc,0.3333333333333333,scalar_l8_sched_cos,0.3333333333333333,0.0,flat
203,protein_ss_seed48_discovery,protein_ss,0.29918201557352503,scalar_l8_train8e5,0.3237902448428764,2.4608229269351356,positive
204,mbpp_seed37_anchor,mbpp,0.46253178506327014,scalar_l8_sched_cos,0.4880077007642532,2.5475915700983065,positive
205,arc_mc_seed37_discovery,arc_mc,0.375,scalar_l8_sched_cos,0.375,0.0,flat
205,hotpot_seed38_discovery,hotpot,0.13183760683760684,head_l8,0.1109449192782526,-2.0892687559354237,negative
206,mbpp_longctx_seed11_repair,mbpp_longctx,0.2035714285714286,scalar_l8_train8e5,0.22445887445887447,2.088744588744587,positive
207,mbpp_seed38_headprobe,mbpp,0.4660821832478379,scalar_l8_train8e5,0.47583210251686525,0.9749919269027352,positive
209,arc_mc_seed39_discovery,arc_mc,0.3333333333333333,scalar_l8_train1e4,0.4166666666666667,8.333333333333337,positive
210,mbpp_seed39_headprobe,mbpp,0.4786305556584913,scalar_l8_sched_cos,0.4663413605506999,-1.2289195107791362,negative
210,hotpot_seed39_discovery,hotpot,0.10242235242235243,scalar_l8_train1e4,0.1331168831168831,3.069453069453068,positive
211,arc_mc_seed40_discovery,arc_mc,0.375,scalar_l8_sched_cos,0.4166666666666667,4.166666666666669,positive
211,protein_ss_seed52_discovery,protein_ss,0.2968304843304843,scalar_l8_train1e4,0.30758508732646667,1.0754602995982354,positive
213,arc_mc_seed41_discovery,arc_mc,0.3333333333333333,scalar_l8_sched_cos,0.375,4.166666666666669,positive
214,mbpp_longctx_seed12_repair,mbpp_longctx,0.18461538461538463,scalar_l8_train8e5,0.2283549783549784,4.3739593739593765,positive
216,protein_ss_seed54_discovery,protein_ss,0.29557907976153086,scalar_l8_train8e5,0.3173795656026045,2.1800485841073636,positive
219,arc_mc_seed44_discovery,arc_mc,0.375,scalar_l8_train1e4,0.375,0.0,flat
219,protein_ss_seed56_discovery,protein_ss,0.2564285290980206,scalar_l8_train1e4,0.3038896376160527,4.746110851803209,positive
221,arc_mc_seed45_discovery,arc_mc,0.375,scalar_l8_train1e4,0.4166666666666667,4.166666666666669,positive
221,hotpot_seed42_discovery,hotpot,0.10878442545109211,scalar_l8_train8e5,0.13116883116883116,2.2384405717739044,positive
222,protein_ss_seed57_discovery,protein_ss,0.2968304843304843,scalar_l8_train1e4,0.30972329327592485,1.2892808945440537,positive
222,mbpp_longctx_seed13_repair,mbpp_longctx,0.17128427128427126,scalar_l8_train8e5,0.2712842712842713,10.000000000000004,positive
223,mbpp_seed44_headprobe,mbpp,0.45942055454678604,scalar_l8_sched_cos,0.4607201908603716,0.12996363135855393,positive
224,protein_ss_seed58_discovery,protein_ss,0.2812033936922429,head_l8,0.31754454926624737,3.634115557400447,positive
225,arc_mc_seed47_discovery,arc_mc,0.3333333333333333,scalar_l8_sched_cos,0.375,4.166666666666669,positive
225,protein_ss_seed59_discovery,protein_ss,0.31590518903359194,head_l8,0.3064327950826821,-0.9472393950909819,negative
226,mbpp_seed45_headprobe,mbpp,0.46688200601752,head_l10_strong,0.5132678927186839,4.638588670116389,positive
226,hotpot_seed43_discovery,hotpot,0.11872282069326405,scalar_l8_train8e5,0.12255087255087255,0.3828051857608497,positive
227,arc_mc_seed48_discovery,arc_mc,0.375,scalar_l8_train8e5,0.375,0.0,flat
227,protein_ss_seed60_discovery,protein_ss,0.26676524907656984,head_l8,0.3209852382946757,5.421998921810584,positive
229,hotpot_seed44_discovery,hotpot,0.11711775878442544,scalar_l8_train1e4,0.12398412398412399,0.6866365199698549,positive
401,protein_ss_seed166_discovery,protein_ss,0.26773615535407985,scalar_l8_sched_cos,0.2692959582790091,0.15598029249292433,positive
401,arc_mc_seed114_discovery,arc_mc,0.3333333333333333,scalar_l8_train1e4,0.375,4.166666666666669,positive
402,mbpp_seed90_headprobe,mbpp,0.47435622563733354,scalar_l8_sched_cos,0.45584378411481213,-1.8512441522521406,negative
403,squad_seed48_discovery,squad,0.17751400592930647,scalar_l8_sched_cos,0.18478719022310733,0.7273184293800861,positive
405,arc_mc_seed115_discovery,arc_mc,0.3333333333333333,scalar_l8_train1e4,0.4583333333333333,12.5,positive
406,protein_ss_seed169_discovery,protein_ss,0.26693059299191374,head_l8,0.3023228661840277,3.5392273192113963,positive
406,hotpot_seed67_discovery,hotpot,0.10498575498575498,scalar_l8_train1e4,0.10856485856485858,0.35791035791035986,positive
408,protein_ss_seed170_discovery,protein_ss,0.28878333931646094,scalar_l8_train1e4,0.32558086222731014,3.6797522910849203,positive
408,arc_mc_seed116_discovery,arc_mc,0.375,scalar_l8_train1e4,0.375,0.0,flat
409,protein_ss_seed171_discovery,protein_ss,0.24954470150723496,scalar_l8_sched_cos,0.27440345779297376,2.48587562857388,positive
410,mbpp_seed92_headprobe,mbpp,0.4711913950488533,scalar_l8_sched_cos,0.4900656788371916,1.8874283788338275,positive
412,protein_ss_seed173_discovery,protein_ss,0.2968304843304843,scalar_l8_train1e4,0.32661871960812444,2.978823527764013,positive
414,protein_ss_seed174_discovery,protein_ss,0.31055402930402926,scalar_l8_sched_cos,0.356322831651779,4.576880234774977,positive
414,hotpot_seed68_discovery,hotpot,0.13116883116883116,head_l8,0.125664767331434,-0.5504063837397155,negative
416,arc_mc_seed119_discovery,arc_mc,0.375,scalar_l8_train1e4,0.375,0.0,flat
417,protein_ss_seed176_discovery,protein_ss,0.31411346927121747,head_l8,0.3145557871278328,0.04423178566153041,positive
417,arc_mc_seed120_discovery,arc_mc,0.375,scalar_l8_sched_cos,0.5,12.5,positive
419,squad_seed52_discovery,squad,0.1867559523809524,scalar_l8_sched_cos,0.18745696015740285,0.07010077764504352,positive
420,mbpp_longctx_seed61_repair,mbpp_longctx,0.21695526695526693,scalar_l8_sched_cos,0.21652236652236653,-0.043290043290039604,negative
420,protein_ss_seed177_discovery,protein_ss,0.2377063372993346,scalar_l8_sched_cos,0.26253776849285015,2.4831431193515554,positive
422,mbpp_seed95_headprobe,mbpp,0.46109936174004806,head_l10_strong,0.4848300767429508,2.3730715002902745,positive
425,protein_ss_seed180_discovery,protein_ss,0.29134179162593765,scalar_l8_sched_cos,0.32877599982863137,3.743420820269372,positive
425,arc_mc_seed122_discovery,arc_mc,0.3333333333333333,scalar_l8_sched_cos,0.4166666666666667,8.333333333333337,positive
427,squad_seed54_discovery,squad,0.18115343470534725,scalar_l8_train1e4,0.19721060158218628,1.6057166876839029,positive
427,hotpot_seed70_discovery,hotpot,0.10382395382395382,scalar_l8_sched_cos,0.08693552356343054,-1.688843026052328,negative
428,mbpp_longctx_seed62_repair,mbpp_longctx,0.22842712842712842,scalar_l8_sched_cos,0.23611111111111113,0.768398268398271,positive
429,arc_mc_seed123_discovery,arc_mc,0.4166666666666667,scalar_l8_sched_cos,0.4166666666666667,0.0,flat
430,protein_ss_seed182_discovery,protein_ss,0.26676524907656984,scalar_l8_sched_cos,0.299425351901767,3.2660102825197157,positive
430,mbpp_seed97_headprobe,mbpp,0.49950921744777194,scalar_l8_train1e4,0.48244652786233205,-1.7062689585439883,negative
431,squad_seed55_anchor,squad,0.1849663390646997,scalar_l8_sched_cos,0.16367955056479647,-2.1286788499903233,negative
433,protein_ss_seed184_discovery,protein_ss,0.3219994758909853,scalar_l8_train1e4,0.3013603720840563,-2.0639103806929016,negative
433,arc_mc_seed124_discovery,arc_mc,0.4166666666666667,scalar_l8_sched_cos,0.4166666666666667,0.0,flat
436,protein_ss_seed185_discovery,protein_ss,0.26562868174710275,scalar_l8_train1e4,0.29681776556776557,3.118908382066282,positive
438,protein_ss_seed186_discovery,protein_ss,0.2968304843304843,scalar_l8_sched_cos,0.34210865701688625,4.527817268640194,positive
440,protein_ss_seed187_discovery,protein_ss,0.2968304843304843,scalar_l8_sched_cos,0.30792343249970366,1.1092948169219352,positive
441,protein_ss_seed188_discovery,protein_ss,0.28553646301287805,scalar_l8_sched_cos,0.3268038085255066,4.126734551262857,positive
441,arc_mc_seed126_discovery,arc_mc,0.4166666666666667,scalar_l8_train8e5,0.4583333333333333,4.1666666666666625,positive
444,protein_ss_seed189_discovery,protein_ss,0.26676524907656984,scalar_l8_train1e4,0.3157184240441953,4.895317496762547,positive
